owner,repo,commit
sixty-north,segpy,2fba7d56704665cf78dfecb5cdf87a746c4c8cad
django,daphne,630caed9153f8eb62aecfade3e349d3cc6ee1bb0
Xilinx,brevitas,4617f7bd136e96fa21c7f76e3c7e2e37fe563837
napari,napari,a0d0e55764466cea85def53a7b843856d6876e26
databio,pypiper,33ad9685eb77aa3748baece0ba58f5424eccea6f
pypa,linehaul,cc9908824b018d555e9eb54f14eb743fa6274b09
py-lidbox,lidbox,e60d5ad2ff4d6076f9afaa780972c0301ee71ac8
hchasestevens,hypothesis-protobuf,f922a996880e6dc4a0e17cccf75a29e47bf9aa0a
gforcada,flake8-builtins,5484162ace8d9546513be710d70e9c148010d9cc
pytries,datrie,ba96de5dd42420237e84b6083f1836ef345592c6
tlsfuzzer,tlslite-ng,c93df82603ab4a72c8d65645a3aeee73eeb24b3f
MIllionBenjamin,Blockchain-FinalProject-SupplyChainFinancialPlatform,cbf6819990ac8e871d15780d6031e635977436f8
Phelimb,BIGSI,bf34abbb9d6f72a9f0c64c40eefc44d810a2502e
rhettinger,modernpython,d305a097607acce12fb687a3a24da993fdfb6353
bmabey,provenance,d29ad2ffc39fbc389600df092da9e7df4f920100
pikepdf,pikepdf,2662d9da649a3b354422673fb62bcfe0a1b9ba4c
jmespath,jmespath.py,2ad18b0e51ef3c22ef0d4bbeb11506746a39e228
ethereum,eth-abi,bbf60c26fd43c5019b77716991056f278677881b
ethereum,eth-account,914388b321cb57d417a4edb72148a889e54b978c
seemoo-lab,polypyus,e24875677bb54301001f56b08f20558ec6727554
tahoe-lafs,tahoe-lafs,a5065c8bca8570b8df947c7ccf9b56f0e0796680
marksparkza,jschon,60c87b31425a64bac7d21cb2bbaacc071538ed5c
lubieowoce,sumtype,29dccfa17083dd7437946480f30116b27b4e6b88
dpranke,pyjson5,d103b623d7fae40784aac12798244a29f13b3eba
data61,clkhash,fee82cdf56198c0c405ba942f50bd9cd892a7d4f
ethereum,py-wasm,41a6d07a620dfc4f590463dd038dffe4efe0c8c6
dsw,proquint,af91d5bb77c182504a1cda5bdb11b2d3a5edb96a
hardbyte,python-can,8e685acc2599c9e1a93322a636301da53e0f8835
mancellin,capytaine,37a2bbe29977903d28fcdf2785c2859f638874d5
poljar,weechat-matrix,feae9fda26ea9de98da9cd6733980a203115537e
DRMacIver,structureshrink,625e01236d6a7d72295782277737595f81d77d2a
ericmjl,nxviz,3014829a09b0154f4c40ecef1ff0a59fee07f86e
tjltjl,plycutter,fb62f664772541003a5c8880be9378caba204603
ingolemo,python-lenses,f5eb8a86d47cbf177365e7090674f765e52227b4
man-group,notebooker,d829d772c9516aea62ccd9d3eb29037da2d8c888
python-hyper,brotlicffi,8e27c661a3e18cbc46e1058ecf74fb98aa2e6615
