owner,repo,commit
capitalone,locopy,a94a9104aecc7da873085fd2ebc173545b225450
bigchaindb,bigchaindb,3c89d306ef12d00a6859382d6953a5205c98f07d
ocadotechnology,aimmo,c80bb3326d125494da370e593d0c004ca40d3075
cupy,cupy,a111a1eecdfd9490ab64d4048511aa38c9d54d71
mozilla,bugbug,f55705881866c3bf3256d6cd320617e0af1b3d15
Stvad,CrowdAnki,a750d7b9526a5d6f4b38eadad7965742036e85b7
gilch,hissp,9bb8f7d08b0ce4da9bb0643993027659c3390029
ecordell,pymacaroons,78c55c1d33a0b23ddc71140a9c999f957d79e9dd
mjwestcott,fennel,f196ca8c43a1c6e319b413627d9771b957638e01
InvestmentSystems,static-frame,cc685d7264fc60f843f1028801d07a70432de720
google,python-fire,6cf45c663075c96b20dd0dfa733c2374545a4ad6
collective,icalendar,ac74257e040d2b9e57edc5c614bf766ca0e53fb6
chyroc,WechatSogou,45731524c1e43925c61a340694774a0d022b895f
loli,medpy,d6abf41066cce75c84215a237a0be208e8294760
ternaus,iglovikov_helper_functions,1e84af2eed58c3c0505fdceb6a8fad013158d06e
bigchaindb,cryptoconditions,a917e9c469f9bdcc9534a9d3f44d5006de9a3109
pimutils,vdirsyncer,a934d5ec665da17390a06a7d0d8f296f8d9a8187
PacktPublishing,Advanced-Elasticsearch-7.0,23a4514ee29794ad1aebc4537e209d3d06b898f5
pytorch,opacus,e4eb3fbb54873bccbc9ecc13415de658e3414cc5
Zac-HD,escape-from-automanual-testing,0a50035feee3671d3c404ed35cf657aa3edfd77d
Julian,jsonschema,04b15679d3ddcd648484d1e42912f7f8b39f4ce9
raiden-network,raiden,90cd5a6cc27e31088a39fd35c0dccf89871dfa88
mre,hyperjson,4821e55765f4428b687fd0459de54ba672ff8df0
osirislab,CSAW-CTF-2019-Quals,c45c25902f2a87c78d811ee78d2eeb2f31ac3d97
cdown,yturl,472cefcbe2a1c8a0c04005bf12f4bdbbdc777a60
weaveworks,kubediff,4b196dbab992c74daa9e5e10aa1ba5ae49fa6ff5
incuna,django-orderable,3a92652fd2b86a213bbcaef04d5ee150575c50fd
python-escpos,python-escpos,0a1d3841f106d8fdd06a9aa857c2061aac2be650
icon-project,icon-service,dfa61fcc42425390a0398ada42ce2121278eec08
seatgeek,fuzzywuzzy,af443f918eebbccff840b86fa606ac150563f466
Tinche,cattrs,46be811135633aee3fc97cd8c171bccdd14c5a93
adamreeve,npTDMS,8c8c44f7027c3971b61e66dc6ad5b078834439da
pydata,xarray,d924d93c4ebe1e174e7b332d53ab5d9f94d789d4
mgeisler,pygob,ebef7bcd2f13cad4975a9a06e43f6fbdfcb8b3fe
satellogic,orbit-predictor,9015b07475c4d6f18f33e529766d1484cf8aa1a8
Torvaney,statsbombapi,751eeaed3abe4cc058cd841e77ca6f6a0e6ef415
pbrod,nvector,b7917df8e29f32fe0971025eb265fe4de603ba9d
loris-imageserver,loris,174248d61b7a18f5531005694f057997a2390332
meshy,framewirc,3a75e95c3cdad8705d09e1e80d05feb766e97893
poliastro,poliastro,21fd7719e89a7d22b4eac63141a60a7f1b01768c
hynek,argon2-cffi,33a5be628687bce3ad13f050c42370f8575726fe
jspahrsummers,adt,32542dac040639c5323ebcb2b7c34560564b0757
sarugaku,requirementslib,591f194bb67d7b4124483ca62fdda8cd19088a86
JNRowe,pyisbn,f557211e31ff48d00b5ff1f58034b92be4b4ca8b
ryanvarley,ExoData,64123d6f9192d336ccf7ca1391f4f1e59c7b96e5
WZBSocialScienceCenter,tmtoolkit,02990865ee896625d5cf540bf2b0dbc159bedf38
leapfrogonline,ansible-merge-vars,413ee17b0fc3bd0e51e06bffb507723704feb995
ethereum,py-trie,d92445c201c1552906c4a1551c1ca703883aef2e
ppb,pursuedpybear,22f3eb067ac03be09a1bc81cbdc683d75a037df0
Kharacternyk,barva,290b62db2fd0c84358d7d21bfb2d4addbc43c237
Lonero-Team,Decentralized-Internet,3d44b8ad5696cd0f4bf1549cd5328914609c38ea
spotify,luigi,e354f61d3195f40711954a9f6cd89148dea51123
aertslab,SCope,9ae520733138f3cf4315ad1a681863fa4126cec4
se2p,pynguin,f0d1f4da782ea76159b1854914b1ae5dff157b9c
tommikaikkonen,prettyprinter,53ba5f934f24228315ef10898fc2b73370349696
wildfish,django-star-ratings,b09c52096e282a46730dc65d9f2594d5d45cb9a9
glue-viz,glue,d59f708bd6ef1df6fe6e8f081eba91b28a1fa57d
recursecenter,blaggregator,d5f3da939fcb16480be049c027e141b7aa171baa
mchlnix,SMB3-Foundry,bd0d451604c8ca97478c5c158335cdf92ee1bca0
sarugaku,vistir,be79c335891e7dc164e28c6739ee9eb7e6ad6b9b
calpaterson,quarchive,284675b3cfef5061f2dac4430a29af2980d3ccc6
justinbois,dc_stat_think,feab6dbe5105eec346744a11cd8c17c3c4420074
backtrace-labs,umash,0faebf07e59557c0fd7eb9622b325b538bf5606e
knowsuchagency,orkestra,b422ed4048b4d421e5100ea1770cbed37c4fb158
BurnySc2,python-sc2,15fbac3f2645cc2641ce9a56d481f1f7a7f2a814
mangaki,mangaki,47f8d0ed03bd54ef55a013d2831008337e11a051
life4,textdistance,c3aca916bd756a8cb71114688b469ec90ef5b232
pycco-docs,pycco,27b1bf012e204c4beda18fb48cdf4b378f68ba8d
elmotec,circlify,4db4e005108ec56c9d378b5cd4493c32fcf715ca
jemisjoky,TorchMPS,ed6bc9a8ed1a1ca162bcb42691326fc6feb761d6
mapbox,rio-rgbify,18f196e2c7a99e08ea4af318fa3bde19b09c67cd
NoRedInk,elm-ops-tooling,35d88e4903e9be19cfc79b705e4f5a4189e4d467
chardet,chardet,8e8dfcd93c572c2cbe37585e01662a90b16fbab6
Quansight-Labs,ndindex,145c13cfb5b755d7de5288a1ee17d1914227c0d7
akurniawan,pytorch-transformer,c4ede88a4f3d1376de077263ebe7dcf2d6fdc519
Yelp,fuzz-lightyear,aeaae968fe585f99a9cf2f93cc5ebbb79e83cc4f
python-hyper,h2,1feb2715dccea1bf02bf7c9c8a8e81abcfd49af9
giotto-ai,giotto-time,c3bd79a27c691fe6fbf2df04b26f2fd624e8f3b2
ics-py,ics-py,3b7d07295f60a5d607ee0fa3a552c252f9e163f0
photogeniq,texturize,637a2135c9b18a3848202e5e25dd0823780592c7
pyjanitor-devs,pyjanitor,4e71e889d6c5fb9ec7a1a191583b7b4d8d6a7def
Qiskit,qiskit-terra,20b00ce3e01f014af1c0c6465e8166113111258e
facebookarchive,tutorials,b27b1eb97f40bf07015e38bad3cdb8ea831428d8
wemake-services,wemake-python-styleguide,d340942773e47e2a2c72bd3c22b4511c72d4dab3
IntelPython,dpnp,2ac196c9c96ea6af15525e44559ac9920d3346fc
faust-streaming,faust,ff75c0be3d784d28b9f69ba3ea94be769b151b89
python-hyper,hpack,056200090577c72978257476e8776afab88595a8
aws,aws-dynamodb-encryption-python,2ae188138cd34adef73eda4905991ebc9b3644e2
MartinThoma,algorithms,5e566eee2c2f30a8b93d6bc06645d0c5f42f6f06
virantha,bricknil,a908b98938ee1028373186e31cb2d43c68f54b76
twitter,dict_minimize,a3c022c8bb2153fffb715fe274a852acf9e846a0
cole,aiosmtplib,6438576fe2012a18212c8efa2f5a1228e5f10489
DRMacIver,schroedinteger,a850d4a306b0fd1784c3a84f04615e469e6cb9ae
mess42,pyrate,108fd1b7fd26857b156691ab0ee2e826e1065f7e
numpy,numpy,185fcf3f850b2c292c60ef56c948b8c63d9b85fd
pytest-dev,pytest,afdf03bc23ac24253f851bd3e1b91e776abc506b
oilshell,oil,847984b97c6f0db6bda665edf7605c4610fb740a
dflook,python-minifier,b5e9446320eff34539b0226af636088411d18a90
