user,project_name,namespace,url
montefiore-ai,hypothesis,hypothesis/nn/amortized_ratio_estimation/multi_layered_perceptron/base.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/metric/exponential_average.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/nn/amortized_ratio_estimation/mutual_information.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/nn/neuromodulation/base.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/nn/amortized_ratio_estimation/resnet/likelihood_to_evidence.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,code_cell:12,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,code_cell:20,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/benchmark/seismic/simulator.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/nn/amortized_ratio_estimation/util.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/benchmark/catapult/simulator.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/nn/densenet/head.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/nn/amortized_ratio_estimation/resnet/base.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/benchmark/mg1/util.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/benchmark/spatialsir/util.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/util/data/__init__.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/visualization/nn.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,examples/amortized-ratio-estimation/likelihood-to-evidence-minimal.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/nn/amortized_ratio_estimation/multi_layered_perceptron/likelihood_to_evidence.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/benchmark/mg1/simulator.py,https://github.com/montefiore-ai/hypothesis
montefiore-ai,hypothesis,hypothesis/util/general.py,https://github.com/montefiore-ai/hypothesis
